===== m2_t1.0_rig =====
E6* base: 56 admissible glues at m=2, index 686
t=1.0 index=686: deep-hole start d=0.5976143 diam=2.645751 (rigorous 2.645751, threshold sqrt7=2.645751)
  eval 2435: d=0.6616995 diam=2.627261 glue=(5, 2, 3) [358s]
  eval 2444: d=0.6617121 diam=2.627261 glue=(5, 2, 3) [359s]
    [heartbeat] 2448 evaluations, best 0.6617121, 360s
  eval 2470: d=0.6617206 diam=2.627261 glue=(5, 2, 3) [363s]
  eval 2476: d=0.6617426 diam=2.627261 glue=(5, 2, 3) [364s]
  eval 2494: d=0.6617450 diam=2.627261 glue=(5, 2, 3) [366s]
    [heartbeat] 2496 evaluations, best 0.6617450, 366s
  eval 2533: d=0.6617478 diam=2.627261 glue=(5, 2, 3) [372s]
  eval 2541: d=0.6617560 diam=2.627261 glue=(5, 2, 3) [373s]
    [heartbeat] 2544 evaluations, best 0.6617560, 373s
  eval 2585: d=0.6617594 diam=2.627261 glue=(5, 2, 3) [379s]
  eval 2586: d=0.6617628 diam=2.627261 glue=(5, 2, 3) [380s]
    [heartbeat] 2592 evaluations, best 0.6617628, 380s
  eval 2631: d=0.6617672 diam=2.627261 glue=(5, 2, 3) [386s]
    [heartbeat] 2640 evaluations, best 0.6617672, 387s
  eval 2642: d=0.6617782 diam=2.627261 glue=(5, 2, 3) [388s]
  eval 2658: d=0.6617805 diam=2.627261 glue=(5, 2, 3) [390s]
  eval 2670: d=0.6617808 diam=2.627261 glue=(5, 2, 3) [392s]
  eval 2680: d=0.6617912 diam=2.627261 glue=(5, 2, 3) [393s]
    [heartbeat] 2688 evaluations, best 0.6617912, 394s
  eval 2694: d=0.6617929 diam=2.627261 glue=(5, 2, 3) [395s]
  eval 2704: d=0.6618010 diam=2.627261 glue=(5, 2, 3) [397s]
  eval 2726: d=0.6618086 diam=2.627261 glue=(5, 2, 3) [400s]
    [heartbeat] 2736 evaluations, best 0.6618086, 401s
  eval 2777: d=0.6618150 diam=2.627261 glue=(5, 2, 3) [407s]
  eval 2781: d=0.6618162 diam=2.627261 glue=(5, 2, 3) [408s]
    [heartbeat] 2784 evaluations, best 0.6618162, 408s
  eval 2794: d=0.6618168 diam=2.627261 glue=(5, 2, 3) [409s]
    [heartbeat] 2832 evaluations, best 0.6618168, 415s
  eval 2836: d=0.6618172 diam=2.627261 glue=(5, 2, 3) [415s]
  eval 2861: d=0.6618210 diam=2.627261 glue=(5, 2, 3) [419s]
  eval 2869: d=0.6618234 diam=2.627261 glue=(5, 2, 3) [420s]
    [heartbeat] 2880 evaluations, best 0.6618234, 422s
  [budget] stop after 2880 evaluations
[844s] m2_t0.95_rig done
===== m2_t1.05_meas =====
E6* base: 56 admissible glues at m=2, index 686
t=1.05 index=686: deep-hole start d=0.6053266 diam=2.665052 (rigorous 2.665052, threshold sqrt7=2.645751)
  eval 2: d=0.6137947 diam=2.574758 glue=(0, 5, 4) [1s]
  eval 6: d=0.6260974 diam=2.585866 glue=(1, 6, 4) [3s]
  eval 10: d=0.6312673 diam=2.578842 glue=(3, 5, 0) [5s]
  eval 13: d=0.6386809 diam=2.570860 glue=(3, 2, 6) [6s]
  eval 26: d=0.6609098 diam=2.563062 glue=(3, 2, 6) [11s]
    [heartbeat] 48 evaluations, best 0.6609098, 21s
    [heartbeat] 96 evaluations, best 0.6609098, 40s
    [heartbeat] 144 evaluations, best 0.6609098, 60s
    [heartbeat] 192 evaluations, best 0.6609098, 80s
    [heartbeat] 240 evaluations, best 0.6609098, 100s
    [heartbeat] 288 evaluations, best 0.6609098, 120s
  eval 305: d=0.6733041 diam=2.542348 glue=(4, 1, 6) [127s]
    [heartbeat] 336 evaluations, best 0.6733041, 140s
    [heartbeat] 384 evaluations, best 0.6733041, 160s
    [heartbeat] 432 evaluations, best 0.6733041, 180s
    [heartbeat] 480 evaluations, best 0.6733041, 200s
    [heartbeat] 528 evaluations, best 0.6733041, 220s
    [heartbeat] 576 evaluations, best 0.6733041, 240s
    [heartbeat] 624 evaluations, best 0.6733041, 260s
    [heartbeat] 672 evaluations, best 0.6733041, 280s
  eval 687: d=0.6769216 diam=2.556805 glue=(6, 3, 6) [286s]
  eval 720: d=0.6773632 diam=2.569418 glue=(6, 3, 6) [299s]
    [heartbeat] 720 evaluations, best 0.6773632, 299s
  eval 753: d=0.6827489 diam=2.571678 glue=(6, 3, 6) [313s]
    [heartbeat] 768 evaluations, best 0.6827489, 319s
    [heartbeat] 816 evaluations, best 0.6827489, 338s
  eval 857: d=0.6844512 diam=2.542561 glue=(6, 3, 6) [355s]
    [heartbeat] 864 evaluations, best 0.6844512, 358s
  eval 893: d=0.6859057 diam=2.537339 glue=(6, 3, 6) [369s]
  eval 905: d=0.6867364 diam=2.540591 glue=(6, 3, 6) [373s]
    [heartbeat] 912 evaluations, best 0.6867364, 376s
  eval 936: d=0.6873169 diam=2.543292 glue=(6, 3, 6) [385s]
    [heartbeat] 960 evaluations, best 0.6873169, 394s
  eval 964: d=0.6888035 diam=2.539207 glue=(6, 3, 6) [396s]
  eval 1005: d=0.6891292 diam=2.540545 glue=(6, 3, 6) [411s]
    [heartbeat] 1008 evaluations, best 0.6891292, 412s
  eval 1024: d=0.6899297 diam=2.537982 glue=(6, 3, 6) [418s]
  [budget] stop after 1032 evaluations
